下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     S C0  3F 41 P ,(Audio ICC_SYSTEM=$41 ) 
下午 2:53:48:I2CW     S C0  3F 41 P ,(Audio ICC_SYSTEM=$41 ) 
下午 2:53:48:I2CW     S C0  3F 41 P ,(Audio ICC_SYSTEM=$41 ) 
下午 2:53:48:I2CW     S C0  C9 02 01 P ,(Audio Special Feature=$02 $01 ) 
下午 2:53:48:I2CW     S C0  00 00 P ,(Tuning ICC_MODE=$00 ) 
下午 2:53:48:I2CW     S C0  C3 01 00 P ,(Audio Special Feature=$01 $00 ) 
下午 2:53:48:I2CW     S C0  C3 02 04 P ,(Audio Special Feature=$02 $04 ) 
下午 2:53:48:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:48:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:48:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:48:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:48:I2CW     S C0  00 02 P ,(Tuning ICC_MODE=$02 ) 
下午 2:53:49:I2CW     S C0  00 10 24 D6 P ,(Tuning ICC_MODE=$10 $24 $D6 ) 
下午 2:53:49:I2CW     S C0  C3 01 00 P ,(Audio Special Feature=$01 $00 ) 
下午 2:53:49:I2CW     S C0  C3 02 04 P ,(Audio Special Feature=$02 $04 ) 
下午 2:53:49:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:49:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:49:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:49:I2CW     S C0  C3 03 06 03 02 04 P ,(Audio Special Feature=$03 $06 $03 $02 $04 ) 
下午 2:53:49:I2CW     S C0  F2 02 8C 08 00 91 P 
下午 2:53:49:I2CW     S C0  F2 43 02 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 03 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 04 04 00 P 
下午 2:53:49:I2CW     S C0  F2 43 05 04 00 P 
下午 2:53:49:I2CW     S C0  F2 02 8F 20 01 22 P 
下午 2:53:49:I2CW     S C0  F2 42 FD 07 FF P 
下午 2:53:49:I2CW     S C0  F2 42 FE 07 FF P 
下午 2:53:49:I2CW     S C0  F2 42 FF 07 FF P 
下午 2:53:49:I2CW     S C0  F2 43 00 07 FF P 
下午 2:53:49:I2CW     S C0  F2 43 01 07 FF P 
下午 2:53:49:I2CW     S C0  F2 43 06 01 00 P 
下午 2:53:49:I2CW     S C0  A9 0A 00 P ,(Audio Special Feature=$0A $00 ) 
下午 2:53:49:I2CW     S C0  A9 0B 00 P ,(Audio Special Feature=$0B $00 ) 
下午 2:53:49:I2CW     S C0  A9 0C 05 P ,(Audio Special Feature=$0C $05 ) 
下午 2:53:49:I2CW     S C0  A9 14 00 P ,(Audio Special Feature=$14 $00 ) 
下午 2:53:49:I2CW     S C0  A9 15 00 P ,(Audio Special Feature=$15 $00 ) 
下午 2:53:49:I2CW     S C0  A9 16 05 P ,(Audio Special Feature=$16 $05 ) 
下午 2:53:49:I2CW     S C0  A9 17 05 P ,(Audio Special Feature=$17 $05 ) 
下午 2:53:49:I2CW     S C0  A9 18 00 P ,(Audio Special Feature=$18 $00 ) 
下午 2:53:49:I2CW     S C0  A9 1F 02 P ,(Audio Special Feature=$1F $02 ) 
下午 2:53:49:I2CW     S C0  A9 00 01 P ,(Audio Special Feature=$00 $01 ) 
下午 2:53:49:I2CW     S C0  A9 01 03 P ,(Audio Special Feature=$01 $03 ) 
下午 2:53:49:I2CW     S C0  A9 02 03 P ,(Audio Special Feature=$02 $03 ) 
下午 2:53:49:I2CW     S C0  A9 03 03 P ,(Audio Special Feature=$03 $03 ) 
下午 2:53:49:I2CW     S C0  A9 1E 02 P ,(Audio Special Feature=$1E $02 ) 
下午 2:53:49:I2CW     S C0  A9 28 00 P ,(Audio Special Feature=$28 $00 ) 
下午 2:53:49:I2CW     S C0  A9 32 00 P ,(Audio Special Feature=$32 $00 ) 
下午 2:53:49:I2CW     S C0  A9 33 00 P ,(Audio Special Feature=$33 $00 ) 
下午 2:53:49:I2CW     S C0  F2 05 CA 00 03 2B P 
下午 2:53:49:I2CW     S C0  F2 04 87 00 02 F2 P 
下午 2:53:49:I2CW     S C0  F2 04 88 00 02 F4 P 
下午 2:53:49:I2CW     S C0  F2 04 89 00 02 F8 P 
下午 2:53:49:I2CW     S C0  F2 04 8A 00 02 F8 P 
下午 2:53:49:I2CW     S C0  F2 04 8A 00 02 F2 P 
下午 2:53:49:I2CW     S C0  F2 04 8A 00 02 F2 P 
下午 2:53:49:I2CW     S C0  20 13 P ,(Audio ICC_P_INPUT=$13 ) 
下午 2:53:49:I2CW     S C0  28 0A P ,(Audio ICC_S_INPUT=$0A ) 
下午 2:53:49:I2CW     S C0  F2 02 C8 00 02 D1 P 
下午 2:53:49:I2CW     S C0  C2 03 00 P ,(Audio Special Feature=$03 $00 ) 
下午 2:53:49:I2CW     S C0  C2 04 05 05 P ,(Audio Special Feature=$04 $05 $05 ) 
下午 2:53:49:I2CW     S C0  C2 04 05 05 P ,(Audio Special Feature=$04 $05 $05 ) 
下午 2:53:49:I2CW     S C0  F2 05 F3 00 03 2E P 
下午 2:53:49:I2CW     S C0  F2 46 96 00 5E P 
下午 2:53:49:I2CW     S C0  F2 46 99 00 01 P 
下午 2:53:49:I2CW     S C0  F2 46 95 00 BD P 
下午 2:53:49:I2CW     S C0  F2 46 98 0C 02 P 
下午 2:53:49:I2CW     S C0  F2 46 94 06 B7 P 
下午 2:53:49:I2CW     S C0  F2 46 97 07 FD P 
下午 2:53:49:I2CW     S C0  F2 46 9C 00 B8 P 
下午 2:53:49:I2CW     S C0  F2 46 9F 00 02 P 
下午 2:53:49:I2CW     S C0  F2 46 9B 01 71 P 
下午 2:53:49:I2CW     S C0  F2 46 9E 0C 04 P 
下午 2:53:49:I2CW     S C0  F2 46 9A 04 5E P 
下午 2:53:49:I2CW     S C0  F2 46 9D 07 FB P 
下午 2:53:49:I2CW     S C0  F2 46 A2 01 5F P 
下午 2:53:49:I2CW     S C0  F2 46 A5 00 04 P 
下午 2:53:49:I2CW     S C0  F2 46 A1 02 BF P 
下午 2:53:49:I2CW     S C0  F2 46 A4 0C 08 P 
下午 2:53:49:I2CW     S C0  F2 46 A0 04 84 P 
下午 2:53:49:I2CW     S C0  F2 46 A3 07 F6 P 
下午 2:53:49:I2CW     S C0  F2 46 A8 00 08 P 
下午 2:53:49:I2CW     S C0  F2 46 A7 0C 11 P 
下午 2:53:49:I2CW     S C0  F2 46 A6 07 EB P 
下午 2:53:49:I2CW     S C0  F2 46 AB 00 10 P 
下午 2:53:49:I2CW     S C0  F2 46 AA 0C 21 P 
下午 2:53:49:I2CW     S C0  F2 46 A9 07 CE P 
下午 2:53:49:I2CW     S C0  F2 46 AE 00 20 P 
下午 2:53:49:I2CW     S C0  F2 46 AD 0C 41 P 
